timestamp,symbol,regime,strategy,current_qty
2020-11-23,ETH-USDT,TREND_UP,TrendUp,0.0
2020-11-23,SOL-USDT,TREND_UP,COOLDOWN,0.0
2020-11-23,BNB-USDT,SIDEWAYS,COOLDOWN,0.0
2020-11-24,BTC-USDT,TREND_UP,TrendUp,0.0
2020-11-24,ETH-USDT,TREND_UP,TrendUp,0.0
2020-11-24,SOL-USDT,TREND_UP,TrendUp,0.0
2020-11-24,BNB-USDT,SIDEWAYS,COOLDOWN,0.0
2020-11-25,BTC-USDT,TREND_UP,TrendUp,0.0
2020-11-25,ETH-USDT,TREND_UP,TrendUp,0.0
2020-11-25,SOL-USDT,TREND_UP,TrendUp,0.0
2020-11-25,BNB-USDT,TREND_UP,SWITCH_COOLDOWN,0.0
2020-11-26,BTC-USDT,TREND_UP,TrendUp,0.0
2020-11-26,ETH-USDT,TREND_UP,TrendUp,0.0
2020-11-26,SOL-USDT,TREND_UP,TrendUp,0.0
2020-11-26,BNB-USDT,TREND_UP,COOLDOWN,0.0
2020-11-27,BTC-USDT,TREND_UP,TrendUp,0.0
2020-11-27,ETH-USDT,TREND_UP,TrendUp,0.0
2020-11-27,SOL-USDT,TREND_UP,TrendUp,165.95990023956466
2020-11-27,BNB-USDT,TREND_UP,COOLDOWN,0.0
2020-11-28,BTC-USDT,TREND_UP,TrendUp,0.0
2020-11-28,ETH-USDT,TREND_UP,TrendUp,0.0
2020-11-28,SOL-USDT,SIDEWAYS,SWITCH_COOLDOWN,0.0
2020-11-28,BNB-USDT,TREND_UP,COOLDOWN,0.0
2020-11-29,BTC-USDT,TREND_UP,TrendUp,0.0
2020-11-29,ETH-USDT,TREND_UP,TrendUp,0.0
2020-11-29,SOL-USDT,SIDEWAYS,COOLDOWN,0.0
2020-11-29,BNB-USDT,TREND_UP,TrendUp,0.0
2020-11-30,BTC-USDT,TREND_UP,TrendUp,0.0
2020-11-30,ETH-USDT,TREND_UP,TrendUp,0.0
2020-11-30,SOL-USDT,SIDEWAYS,COOLDOWN,0.0
2020-11-30,BNB-USDT,TREND_UP,TrendUp,0.0
2020-12-01,BTC-USDT,TREND_UP,TrendUp,0.0
2020-12-01,ETH-USDT,TREND_UP,TrendUp,0.0
