signal_time,fill_time,symbol,side,qty,fill_price,commission,slip,slip_dir,strategy_id,exit_reason
2024-03-22,2024-03-23,ETH-USDT,buy,2.0400584957116594,3338.0181749999997,6.809752336748678,1.668175,positive,TrendUp,signal
2024-03-22,2024-03-23,BTC-USDT,sell,0.13223391968120782,63764.74168000001,8.431861729806085,31.898320000000002,negative,TrendUp,Close below SMA30
2024-03-23,2024-03-24,ETH-USDT,sell,2.0400584957116594,3327.865235,6.789039745245228,1.664765,negative,Router,StateSwitch
2024-03-23,2024-03-24,BTC-USDT,buy,0.12739648330713577,64022.015009999996,8.15617956651066,31.99501,positive,TrendUp,signal
2024-04-02,2024-04-03,BTC-USDT,sell,0.12739648330713577,65431.258005,8.335712168198876,32.731995,negative,TrendUp,Close below SMA30
2024-04-04,2024-04-05,BTC-USDT,buy,0.14770923176664988,68522.0439,10.121338463549659,34.243900000000004,positive,TrendUp,signal
2024-04-05,2024-04-06,BTC-USDT,sell,0.14770923176664988,67786.719685,10.012724288652594,33.910315000000004,negative,TrendUp,Close below SMA30
2024-04-05,2024-04-06,SOL-USDT,buy,35.39772518676789,174.45718499999998,6.175387491487125,0.087185,positive,TrendUp,signal
2024-04-08,2024-04-09,SOL-USDT,sell,35.39772518676789,180.58966,6.392463156251851,0.09034,negative,TrendUp,Close below SMA30
2024-04-09,2024-04-10,SOL-USDT,buy,39.55256347029849,172.49620499999997,6.822667096648118,0.086205,positive,TrendUp,signal
2024-04-10,2024-04-11,SOL-USDT,sell,39.55256347029849,173.21335000000002,6.851032019778027,0.08665,negative,Router,StateSwitch
2024-04-11,2024-04-12,ETH-USDT,short,2.585643963510412,3500.76874,9.05174156022695,1.75126,negative,TrendDown,signal
2024-05-02,2024-05-03,BNB-USDT,buy,17.23633932806892,560.78025,9.665798677479321,0.28025,positive,TrendUp,signal
2024-05-07,2024-05-08,BNB-USDT,sell,17.23633932806892,576.21175,9.931781247820416,0.28825,negative,TrendUp,Close below SMA30
2024-05-13,2024-05-14,BTC-USDT,short,0.190986835559692,62908.619955,12.014718254632744,31.470045,negative,TrendDown,signal
2024-05-15,2024-05-16,BTC-USDT,cover,0.190986835559692,66239.61325499999,12.650894124270279,33.103255,positive,TrendDown,Close above SMA30
2024-05-17,2024-05-18,ETH-USDT,cover,2.585643963510412,3093.546,7.998808540741781,1.546,positive,TrendDown,Close above SMA30
2024-06-07,2024-06-08,SOL-USDT,buy,53.797935805268416,162.591255,8.747073898988027,0.081255,positive,TrendUp,signal
2024-06-08,2024-06-09,SOL-USDT,sell,53.797935805268416,157.75108500000002,8.486682744041442,0.07891500000000001,negative,TrendUp,Close below SMA30
2024-06-11,2024-06-12,ETH-USDT,buy,3.613136250892789,3499.0786649999995,12.642647969237043,1.748665,positive,TrendUp,signal
2024-06-11,2024-06-12,BTC-USDT,buy,0.24433823623314738,67347.88711499999,16.45566395170821,33.657115,positive,TrendUp,signal
2024-06-11,2024-06-12,BNB-USDT,buy,18.73308321883006,602.80125,11.292325980664785,0.30125,positive,TrendUp,signal
2024-06-12,2024-06-13,ETH-USDT,sell,3.613136250892789,3558.349935,12.8568031435105,1.780065,negative,TrendUp,Close below SMA30
2024-06-12,2024-06-13,BTC-USDT,sell,0.24433823623314738,68229.84801,16.67116072121912,34.13199,negative,TrendUp,Close below SMA30
